Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
!I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,theta1,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,F,ulog,0.1,10,x2,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,F,ulog,1,1e3,m2,F,ulog,1,1e3,x1,F,ulog,1.0,10,x2,F,ulog,1.0,10,y1,F,ulog,0,10,y2,F,ulog,1.0,10,z1,F,ulog,1.0,10.0,z2,F,ulog,1.0,10.0,,,,,,,,,,
!I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,F,ulog,0.1,10,v,F,ulog,1e5,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,F,ulog,0.1,10,x2,F,ulog,0.1,10,x3,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,y3,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,
#I.12.1,8,F,mu*Nn,2,mu,F,ulog,0.1,1,Nn,F,ulog,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qrI.12.2,10,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,F,ulog,1e-19,0.1,q2,F,ulog,1e-19,0.1,r,F,ulog,1e-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qrI.12.4,11,Ef,q1*r/(4*pi*epsilon0*r**3),2,q1,F,ulog,1e-19,0.1,r,F,ulog,1e-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qI.12.5,12,F,q2*Ef,2,q2,F,ulog,1e-19,0.1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qI.12.11,13,F,q*(Ef+B*v*sin(theta)),5,q,F,ulog,1e-19,10,Ef,F,ulog,0.1,10,B,F,ulog,0.1,10,v,F,ulog,0.1,10,theta,F,u,0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,
!I.13.4,9,K,1/2*m*(v**2+u**2+w**2),4,m,F,ulog,0.01,1,v,F,ulog,0.1,10,u,F,ulog,0.1,10,w,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?mrI.13.12,14,U,G*m1*m2*(1/r2-1/r1),4,m1,F,ulog,0,1e31,m2,F,ulog,0.0,1e31,r1,F,ulog,0.01,1e17,r2,F,ulog,0.01,1e17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.14.3,15,U,m*g*z,2,m,F,ulog,0.1,10,z,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.14.4,16,U,1/2*k_spring*x**2,2,k_spring,F,ulog,1e-2,1000,x,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.15.3x,17,x1,(x-u*t)/sqrt(1-u**2/c**2),3,x,F,ulog,1,10,u,F,ulog,1e5,1e7,t,F,ulog,1e-06,1e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.15.3t,18,t1,(t-u*x/c**2)/sqrt(1-u**2/c**2),3,x,F,ulog,1,100,u,F,ulog,1e6,1e8,t,F,ulog,1e-06,1e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.15.10,19,p,m_0*v/sqrt(1-v**2/c**2),2,m_0,F,ulog,0.01,1,v,F,ulog,1e5,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.16.6,20,v1,(u+v)/(1+u*v/c**2),2,v,F,ulog,1e5,1e8,u,F,ulog,1e5,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.18.4,21,r,(m1*r1+m2*r2)/(m1+m2),4,m1,F,ulog,0.1,10,m2,F,ulog,0.1,10,r1,F,ulog,0.1,10,r2,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I.18.12,22,tau,r*F*sin(theta),3,r,F,ulog,0.1,10,F,F,ulog,0.1,100,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I.18.16,23,L,m*r*v*sin(theta),4,m,F,ulog,0.1,10,r,F,ulog,0.1,10,v,F,ulog,1.0,1000,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.24.6,24,E_n,1/2*m*(omega**2+omega_0**2)*1/2*x**2,4,m,F,ulog,0.1,10,omega,F,ulog,0.1,10,omega_0,F,ulog,0.1,10,x,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I.25.13,25,Volt,q/C,2,q,F,ulog,1e-3,0.1,C,F,ulog,1e-12,1e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I.26.2,26,theta1,arcsin(n*sin(theta2)),2,n,F,u,1,4,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I.27.6,27,foc,1/(1/d1+n/d2),3,d1,F,ulog,0.1,10,d2,F,ulog,0.1,10,n,F,u,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.29.4,28,k,omega/c,1,omega,F,ulog,1e9,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.29.16,29,x,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),4,x1,F,ulog,0.1,10,x2,F,ulog,0.1,10,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.30.3,30,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3,Int_0,F,ulog,1e-3,0.1,theta,F,u,-2*pi,2*pi,n,I,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.30.5,31,theta,arcsin(lambd/(n*d)),3,lambd,F,ulog,1e-11,1e-9,d,F,ulog,1e-13,1e-7,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?aI.32.5,32,Pwr,q**2*a**2/(6*pi*epsilon0*c**3),2,q,F,ulog,1e-3,0.1,a,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.32.17,33,Pwr,(1/2*epsilon0*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),4,Ef,F,ulog,10,1e3,r,F,ulog,1e-2,1,omega,F,ulog,1000000000.0,1e11,omega_0,F,ulog,1000000000.0,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.34.8,34,omega,q*v*B/p,4,q,F,ulog,1e-11,1e-9,v,F,ulog,1e5,1e7,B,F,ulog,10.0,1e3,p,F,ulog,1000000000.0,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.34.10,35,omega,omega_0/(1-v/c),2,v,F,ulog,1e5,1e7,omega_0,F,ulog,1e9,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.34.14,36,omega,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,2,v,F,ulog,1e6,1e8,omega_0,F,ulog,1e9,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.34.27,37,E_n,(h/(2*pi))*omega,1,omega,F,ulog,1e9,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.37.4,38,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3,I1,F,ulog,1e-3,0.1,I2,F,ulog,1e-3,0.1,delta,F,u,0.0,pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.38.12,39,r,4*pi*epsilon0*(h/(2*pi))**2/(m*q**2),2,m,F,ulog,1e-28,1e-26,q,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.39.10,40,E_n,3/2*pr*V,2,pr,F,ulog,1e4,1e6,V,F,ulog,1e-5,1e-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.39.11,41,E_n,1/(g-1)*pr*V,3,g,F,u,1,2,pr,F,ulog,1e4,1e6,V,F,ulog,1e-05,1e-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.39.22,42,pr,n*k*T/V,3,n,I,ulog,1e23,1e25,T,F,ulog,10.0,1000,V,F,ulog,1e-05,1e-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.40.1,43,n,n_0*exp(-m*g*x/(k*T)),4,n_0,F,ulog,1e25,1e27,m,F,ulog,1e-24,1e-22,x,F,ulog,0.01,1,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.41.16,44,L_rad,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(k*T))-1)),2,omega,F,ulog,0.1,10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.43.16,45,v,mu_drift*q*Volt/d,4,mu_drift,F,ulog,1e-6,1e-4,q,F,ulog,1e-11,1e-9,Volt,F,ulog,0.1,10,d,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.43.31,46,D,mob*k*T,2,mob,F,ulog,1e13,1e15,T,F,ulog,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.43.43,47,kappa,1/(g-1)*k*v/A,3,g,F,u,1,2,A,F,ulog,1e-21,1e-19,v,F,ulog,100.0,1e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.44.4,48,E_n,n*k*T*ln(V2/V1),4,n,I,ulog,1e23,1e25,T,F,ulog,10.0,1000,V1,F,ulog,1e-05,1e-3,V2,F,ulog,1e-05,1e-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.47.23,49,c,sqrt(g*pr/rho),3,g,F,u,1,2,pr,F,u,5e-06,15e-6,rho,F,u,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.48.20,50,E_n,m*c**2/sqrt(1-v**2/c**2),2,m,F,ulog,1e-29,1e-27,v,F,ulog,1e6,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.50.26,51,x,x1*(cos(omega*t)+alpha*cos(omega*t)**2),4,x1,F,ulog,0.1,10,omega,F,ulog,10,1e3,t,F,ulog,0.001,0.1,alpha,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.2.42,52,Pwr,kappa*(T2-T1)*A/d,5,kappa,F,ulog,0.1,10,T1,F,ulog,10.0,1000,T2,F,ulog,10.0,1000,A,F,ulog,0.0001,0.01,d,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
!II.3.24,53,flux,Pwr/(4*pi*r**2),2,Pwr,F,ulog,1,100,r,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.4.23,54,Volt,q/(4*pi*epsilon0*r),2,q,F,ulog,1e-3,0.1,r,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.6.11,55,Volt,1/(4*pi*epsilon0)*p_d*cos(theta)/r**2,3,p_d,F,ulog,1e-22,1e-20,theta,F,u,0.0,2*pi,r,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.6.15a,56,Ef,p_d/(4*pi*epsilon0)*3*z/r**5*sqrt(x**2+y**2),5,p_d,F,ulog,1e-22,1e-20,r,F,ulog,1e-10,1e-8,x,F,ulog,1e-10,1e-8,y,F,ulog,1e-10,1e-8,z,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,
!II.6.15b,57,Ef,p_d/(4*pi*epsilon0)*3*cos(theta)*sin(theta)/r**3,3,p_d,F,ulog,1e-22,1e-20,theta,F,u,0.0,pi,r,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.8.7,58,E_n,3/5*q**2/(4*pi*epsilon0*d),2,q,F,ulog,1e-11,1e-9,d,F,ulog,1e-12,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.8.31,59,E_den,epsilon0*Ef**2/2,1,Ef,F,ulog,10,1e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.10.9,60,Ef,sigma_den/epsilon0*1/(1+chi),2,sigma_den,F,ulog,1e-3,0.1,chi,F,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?omegaII.11.3,61,x,q*Ef/(m*(omega_0**2-omega**2)),5,q,F,ulog,1e-11,1e-9,Ef,F,ulog,1e-9,1e-7,m,F,ulog,1.0000000000000001e-28,1e-26,omega,F,ulog,1000000000.0,1e11,omega_0,F,ulog,omega,1e11,,,,,,,,,,,,,,,,,,,,,,,,,
!II.11.17,62,n,n_0*(1+p_d*Ef*cos(theta)/(k*T)),5,n_0,F,ulog,1e27,1e29,T,F,ulog,10.0,1000,theta,F,u,0.0,2*pi,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10,1e3,,,,,,,,,,,,,,,,,,,,,,,,,
