Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
!II.11.20,63,Pol,n_rho*p_d**2*Ef/(3*k*T),4,n_rho,I,ulog,1e23,1e25,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10.0,1e3,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.11.27,64,Pol,n*a/(1-(n*a/3))*epsilon0*Ef,3,n,I,ulog,1e23,1e25,Ef,F,ulog,10.0,1e3,a,F,ulog,1e-33,1e-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.11.28,65,theta,1+n*a/(1-(n*a/3)),2,n,I,ulog,1e23,1e25,a,F,ulog,1e-33,1e-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.13.17,66,B,1/(4*pi*epsilon0*c**2)*2*I/r,2,I,F,ulog,1e-3,0.1,r,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.13.23,67,rho_c,rho_c_0/sqrt(1-v**2/c**2),2,rho_c_0,F,ulog,1e27,1e29,v,F,ulog,1e6,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.13.34,68,j,rho_c_0*v/sqrt(1-v**2/c**2),2,rho_c_0,F,ulog,1e27,1e29,v,F,ulog,1e6,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.15.4,69,E_n,-mew*B*cos(theta),3,mew,F,ulog,1e-25,1e-23,B,F,ulog,0.001,0.1,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.15.5,70,E_n,-p_d*Ef*cos(theta),3,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10.0,1e3,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.21.32,71,Volt,q/(4*pi*epsilon0*r*(1-v/c)),3,q,F,ulog,1e-3,0.1,r,F,ulog,1,100,v,F,ulog,100000.0,1e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.24.17,72,k,sqrt(omega**2/c**2-pi**2/d**2),2,omega,F,ulog,1e9,1e11,d,F,ulog,1e-3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.27.16,73,flux,epsilon0*c*Ef**2,1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.27.18,74,E_den,epsilon0*Ef**2,1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.2a,75,I,q*v/(2*pi*r),3,q,F,ulog,1e-11,1e-9,v,F,ulog,1e5,1e7,r,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.2,76,mew,q*v*r/2,3,q,F,ulog,1e-11,1e-9,v,F,ulog,1e5,1e7,r,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.11,77,omega,g_*q*B/(2*m),4,g_,F,u,-1,1,B,F,ulog,1e-09,1e-7,m,F,ulog,9.999999999999999e-31,1e-28,q,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.29a,78,mew,q*h/(4*pi*m),2,m,F,ulog,1e-30,1e-28,q,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.29b,79,E_n,g_*Bohr*B*Jz/(h/(2*pi)),3,g_,F,u,-1,1,Jz,F,ulog,1e-26,1e-22,B,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.35.18,80,n,n_0/(exp(mew*B/(k*T))+exp(-mew*B/(k*T))),4,n_0,I,ulog,1e23,1e25,T,F,ulog,10.0,1000,B,F,ulog,0.001,0.1,mew,F,ulog,9.999999999999999e-26,1e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.35.21,81,M,n_rho*mew*tanh(mew*B/(k*T)),4,n_rho,I,ulog,1e23,1e25,B,F,ulog,1e-3,0.1,T,F,ulog,10.0,1000,mew,F,ulog,9.999999999999999e-26,1e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.36.38,82,f,mew*H/(k*T)+(mew*alpha)/(epsilon0*c**2*k*T)*M,5,mew,F,ulog,1e-25,1e-23,H,F,ulog,1e-3,0.1,M,I,ulog,1e+23,1e25,T,F,ulog,10.0,1000,alpha,F,u,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
!II.37.1,83,E_n,mew*(1+chi)*B,3,mew,F,ulog,1e-25,1e-23,B,F,ulog,1e-3,0.1,chi,F,ulog,10000.0,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.38.3,84,F,Y*A*x/d,4,Y,F,ulog,0.1,10,A,F,ulog,0.0001,0.01,d,F,ulog,0.01,1,x,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.38.14,85,mu_S,Y/(2*(1+sigma)),2,Y,F,ulog,0.1,10,sigma,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.4.32,86,n,1/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,F,ulog,1e8,1e10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.4.33,87,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,F,ulog,1e8,1e10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.7.38,88,omega,2*mew*B/(h/(2*pi)),2,mew,F,ulog,1e-11,1e-9,B,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.8.54,89,prob,sin(E_n*t/(h/(2*pi)))**2,2,E_n,F,ulog,1e-18,1e-16,t,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.9.52,90,prob,((p_d*Ef*t/(h/(2*pi)))**2)*(sin((omega-omega_0)*t/2)**2)/((omega-omega_0)*t/2)**2,5,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10,1e3,t,F,ulog,1e-18,1e-16,omega,F,ulog,100000000.0,1e10,omega_0,F,ulog,1e8,1e10,,,,,,,,,,,,,,,,,,,,,,,,,
!III.10.19,91,E_n,mew*sqrt(Bx**2+By**2+Bz**2),4,mew,F,ulog,1e-25,1e-23,Bx,F,ulog,1e-3,0.1,By,F,ulog,0.001,0.1,Bz,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.12.43,92,L,n*(h/(2*pi)),1,n,I,ulog,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.13.18,93,v,2*E_n*d**2*K/(h/(2*pi)),3,E_n,F,ulog,1e-18,1e-16,d,F,ulog,1e-10,1e-8,K,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qIII.14.14,94,I,I_0*(exp(q*Volt/(k*T))-1),4,I_0,F,ulog,1e-3,0.1,q,F,ulog,1e-19,1e-16,Volt,F,ulog,0.1,10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.15.12,95,E_n,2*U*(1-cos(K*d)),3,U,F,ulog,1e-18,1e-16,K,F,ulog,0.1,10,d,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.15.14,96,m,(h/(2*pi))**2/(2*E_n*d**2),2,E_n,F,ulog,1e-18,1e-16,b,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?iIII.15.27,97,K,2*pi*alpha/(n*d),3,alpha,I,ulog,-0.5*n,0.5*n,n,I,ulog,1.0,100,d,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.17.37,98,f,b*(1+alpha*cos(theta)),3,b,F,ulog,1e-18,1e-16,alpha,F,ulog,1e-18,1e-16,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.19.51,99,E_n,-m*q**4/(2*(4*pi*epsilon0)**2*(h/(2*pi))**2)*(1/n**2),3,m,F,ulog,1e-30,1e-28,q,F,ulog,1e-11,1e-9,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!III.21.20,100,j,-rho_c_0*q*A_vec/m,4,rho_c_0,F,ulog,1e27,1e29,q,F,ulog,1e-11,1e-9,A_vec,F,ulog,0.001,0.1,m,F,ulog,9.999999999999999e-31,1e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_1,101,A,(Z_1*Z_2*alpha*h/(2*pi)*c/(4*E_n*sin(theta/2)**2))**2,4,Z_1,I,ulog,1,10,Z_2,I,ulog,1,10,E_n,F,ulog,1e-18,1e-16,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_2,102,k,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),6,m,F,ulog,1e23,1e25,k_G,F,ulog,1e9,1e11,L,F,ulog,100000000.0,1e10,E_n,F,ulog,1e+25,1e27,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,
!test_3,103,r,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),4,d,F,ulog,1e8,1e10,alpha,F,u,0,1,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_4,104,v,sqrt(2/m*(E_n-U-L**2/(2*m*r**2))),5,m,F,ulog,1e23,1e25,E_n,F,ulog,1e25,1e27,U,F,ulog,1e+25,1e27,L,F,ulog,100000000.0,1e10,r,F,ulog,1e8,1e10,,,,,,,,,,,,,,,,,,,,,,,,,
!test_5,105,t,2*pi*d**(3/2)/sqrt(G*(m1+m2)),3,d,F,ulog,1e8,1e10,m1,F,ulog,1e23,1e25,m2,F,ulog,1e+23,1e25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_6,106,alpha,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2)),7,epsilon,F,ulog,1e-18,1e-16,L,F,ulog,1e-10,1e-8,m,F,ulog,9.999999999999999e-31,1e-28,Z_1,I,ulog,1.0,10,Z_2,I,ulog,1.0,10,q,F,ulog,1e-11,1e-9,E_n,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,
!test_7,107,H_G,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),3,d,F,ulog,1e8,1e10,rho,F,ulog,1e-27,1e-25,alpha,F,u,-1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_8,108,K,E_n/(1+E_n/(me*c**2)*(1-cos(theta))),2,E_n,F,ulog,1e-24,1e-22,theta,F,u,-pi,pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_9,109,Pwr,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,3,m1,F,ulog,1e23,1e25,m2,F,ulog,1e23,1e25,r,F,ulog,100000000.0,1e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_10,110,theta1,arccos((cos(theta2)-v/c)/(1-v/c*cos(theta2))),2,theta2,F,u,0,2*pi,v,F,ulog,1e5,1e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_11,111,I,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,4,I_0,F,ulog,1e-3,0.1,alpha,F,ulog,1e-11,1e-9,delta,F,ulog,1e-11,1e-9,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_12,112,F,q/(4*pi*epsilon0*y**2)*(4*pi*epsilon0*Volt*d-q*d*y**3/(y**2-d**2)**2),4,q,F,ulog,1e-3,0.1,y,F,ulog,1e-2,1,Volt,F,ulog,0.1,10,d,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_13,113,Volt,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),5,q,F,ulog,1e-3,0.1,r,F,ulog,1e-2,1,d,F,ulog,0.01,1,alpha,F,u,0.0,2*pi,epsilon,F,ulog,1e-12,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,
!test_14,114,Volt,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),5,Ef,F,ulog,10,1000,theta,F,u,0,2*pi,r,F,ulog,0.01,1.0,d,F,ulog,0.01,1.0,alpha,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
!test_15,115,omega_0,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),3,v,F,ulog,1e5,1e7,omega,F,ulog,1e9,1e11,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_16,116,E_n,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,5,m,F,ulog,1e-30,1e-28,p,F,ulog,1e-9,1e-7,q,F,ulog,1e-11,1e-9,A_vec,F,ulog,10.0,1000,Volt,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
!test_17,117,E_n,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),6,m,F,ulog,1e-30,1e-28,omega,F,ulog,1e9,1e11,p,F,ulog,1e-09,1e-7,y,F,ulog,1e-11,1e-9,x,F,ulog,1e-11,1e-9,alpha,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,
!test_18,118,rho_0,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),3,H_G,F,ulog,1,100,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_19,119,pr,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),4,alpha,F,u,-10,10,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,H_G,F,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_20,120,A,1/(4*pi)*alpha**2*h**2/(me**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(b)**2),3,omega,F,ulog,1e9,1e11,omega_0,F,ulog,1e9,1e11,b,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
