,Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
50,!I.50.26,40,x,X1*(cos(omega*t)+alpha*cos(omega*t)**2),4,X1,F,ulog,0.1,10,omega,F,ulog,10,1e3,t,F,ulog,0.001,0.1,alpha,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,!II.2.42,41,Pwr,kappa*(T2-T1)*A/d,5,kappa,F,ulog,0.1,10,T1,F,ulog,10.0,1000,T2,F,ulog,10.0,1000,A,F,ulog,0.0001,0.01,d,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
54,!II.6.11,42,Volt,1/(4*pi*epsilon0)*p_d*cos(theta)/r**2,3,p_d,F,ulog,1e-22,1e-20,theta,F,u,0.0,2*pi,r,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,!II.6.15a,43,Ef,p_d/(4*pi*epsilon0)*3*z/r**5*sqrt(x**2+y**2),5,p_d,F,ulog,1e-22,1e-20,r,F,ulog,1e-10,1e-8,x,F,ulog,1e-10,1e-8,y,F,ulog,1e-10,1e-8,z,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,
56,!II.6.15b,44,Ef,p_d/(4*pi*epsilon0)*3*cos(theta)*sin(theta)/r**3,3,p_d,F,ulog,1e-22,1e-20,theta,F,u,0.0,pi,r,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,!II.8.7,45,E_n,3/5*q**2/(4*pi*epsilon0*d),2,q,F,ulog,1e-11,1e-9,d,F,ulog,1e-12,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,!II.8.31,46,E_den,epsilon0*Ef**2/2,1,Ef,F,ulog,10.0,1e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,?omegaII.11.3,47,x,q*Ef/(m*(omega_0**2-omega**2)),5,q,F,ulog,1e-11,1e-9,Ef,F,ulog,1e-9,1e-7,m,F,ulog,9.999999999999999e-29,1e-26,omega,F,ulog,1000000000.0,1e11,omega_0,F,ulog,omega,1e11,,,,,,,,,,,,,,,,,,,,,,,,,
61,!II.11.17,48,n,n_0*(1+p_d*Ef*cos(theta)/(k*T)),5,n_0,F,ulog,1e+27,1e29,T,F,ulog,10.0,1000,theta,F,u,0.0,2*pi,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10,1e3,,,,,,,,,,,,,,,,,,,,,,,,,
62,!II.11.20,49,Pol,n_rho*p_d**2*Ef/(3*k*T),4,n_rho,I,ulog,1e+23,1e25,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10.0,1e3,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,!II.11.28,50,theta,1+n*a/(1-(n*a/3)),2,n,I,ulog,1e+23,1e25,a,F,ulog,1e-33,1e-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,!II.15.4,51,E_n,-mew*B*cos(theta),3,mew,F&F,ulog&ulog,9.999999999999999e-26&1.00000000000000e-22,1e-23&1.00000000000000e-20,B,F&F,ulog&ulog,0.001&10.0000000000000,0.1&1000.00000000000,theta,F&F,u&u,0.0&0,2*pi&6.28318530717959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,!II.24.17,52,k,sqrt(omega**2/c**2-pi**2/d**2),2,omega,F,ulog,1000000000.0,1e11,d,F,ulog,1e-3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,!II.27.16,53,flux,epsilon0*c*Ef**2,1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,!II.27.18,54,E_den,epsilon0*Ef**2,1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,!II.34.2a,55,I,q*v/(2*pi*r),3,q,F,ulog,1e-11,1e-9,v,F,ulog,1e5,1e7,r,F,ulog,1e-11,1e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,!II.34.2,56,mew,q*v*r/2,3,q,F&F,ulog&ulog,1e-11&175882000.918628,1e-9&17588200091.8628,v,F&F,ulog&u,1e5&-1.00000000000000,1e7&1.00000000000000,r,F&F,ulog&ulog,1e-11&1.00000000000000e-26,1e-9&1.00000000000000e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,!II.35.18,57,n,n_0/(exp(mew*B/(k*T))+exp(-mew*B/(k*T))),4,n_0,I,ulog,1e+23,1e25,T,F,ulog,10.0,1000,B,F,ulog,0.001,0.1,mew,F,ulog,1e-25,1e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,!II.35.21,58,M,n_rho*mew*tanh(mew*B/(k*T)),4,n_rho,I,ulog,1e+23,1e25,B,F,ulog,1e-3,0.1,T,F,ulog,10.0,1000,mew,F,ulog,1e-25,1e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,!II.36.38,59,f,mew*H/(k*T)+(mew*alpha)/(epsilon0*c**2*k*T)*M,5,mew,F,ulog,9.999999999999999e-26,1e-23,H,F,ulog,1e-3,0.1,M,I,ulog,1e+23,1e25,T,F,ulog,10.0,1000,alpha,F,u,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
82,!II.37.1,60,E_n,mew*(1+chi)*B,3,mew,F,ulog,9.999999999999999e-26,1e-23,B,F,ulog,1e-3,0.1,chi,F,ulog,10000.0,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,!III.4.32,61,n,1/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,F,ulog,100000000.0,1e10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,!III.4.33,62,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,F,ulog,100000000.0,1e10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,!III.8.54,63,prob,sin(E_n*t/(h/(2*pi)))**2,2,E_n,F,ulog,1e-18,1e-16,t,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,!III.9.52,64,prob,((p_d*Ef*t/(h/(2*pi)))**2)*(sin((omega-omega_0)*t/2)**2)/((omega-omega_0)*t/2)**2,5,p_d,F,ulog,1e-22,1e-20,Ef,F,ulog,10,1e3,t,F,ulog,1e-18,1e-16,omega,F,ulog,100000000.0,1e10,omega_0,F,ulog,1e8,1e10,,,,,,,,,,,,,,,,,,,,,,,,,
90,!III.10.19,65,E_n,mew*sqrt(Bx**2+By**2+Bz**2),4,mew,F,ulog,9.999999999999999e-26,1e-23,Bx,F,ulog,1e-3,0.1,By,F,ulog,0.001,0.1,Bz,F,ulog,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,!III.13.18,66,v,2*E_n*d**2*K/(h/(2*pi)),3,E_n,F,ulog,1e-18,1e-16,d,F,ulog,1e-10,1e-8,K,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,?qIII.14.14,67,I,I_0*(exp(q*Volt/(k*T))-1),4,I_0,F,ulog,0.001,0.1,q,F,ulog,1e-19,1e-16,Volt,F,ulog,0.1,10,T,F,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,!III.15.12,68,E_n,2*U*(1-cos(K*d)),3,U,F,ulog,1e-18,1e-16,K,F,ulog,0.1,10,d,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,?iIII.15.27,69,K,2*pi*alpha/(n*d),3,alpha,I,ulog,1.0,0.5*n,n,I,ulog,1.0,100,d,F,ulog,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,!III.17.37,70,f,b*(1+alpha*cos(theta)),3,b,F,ulog,1e-18,1e-16,alpha,F,ulog,1e-18,1e-16,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,!III.19.51,71,E_n,-m*q**4/(2*(4*pi*epsilon0)**2*(h/(2*pi))**2)*(1/n**2),3,m,F,ulog,9.999999999999999e-31,1e-28,q,F,ulog,1e-11,1e-9,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,!test_1,72,A,(Z_1*Z_2*alpha*h/(2*pi)*c/(4*E_n*sin(theta/2)**2))**2,4,Z_1,I,ulog,1.0,10,Z_2,I,ulog,1,10,E_n,F,ulog,1e-18,1e-16,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,!test_2,73,k,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),6,m,F,ulog,1e+23,1e25,k_G,F,ulog,1e9,1e11,L,F,ulog,100000000.0,1e10,E_n,F,ulog,1e+25,1e27,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,
102,!test_3,74,r,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),4,d,F,ulog,100000000.0,1e10,alpha,F,u,0,1,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,!test_4,75,v,sqrt(2/m*(E_n-U-L**2/(2*m*r**2))),5,m,F,ulog,1e+23,1e25,E_n,F,ulog,1e25,1e27,U,F,ulog,1e+25,1e27,L,F,ulog,100000000.0,1e10,r,F,ulog,1e8,1e10,,,,,,,,,,,,,,,,,,,,,,,,,
104,!test_5,76,t,2*pi*d**(3/2)/sqrt(G*(m1+m2)),3,d,F,ulog,100000000.0,1e10,m1,F,ulog,1e23,1e25,m2,F,ulog,1e+23,1e25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,!test_6,77,alpha,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2)),7,epsilon,F,ulog,1e-18,1e-16,L,F,ulog,1e-10,1e-8,m,F,ulog,1e-30,1e-28,Z_1,I,ulog,1.0,10,Z_2,I,ulog,1.0,10,q,F,ulog,1e-11,1e-9,E_n,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,
106,!test_7,78,H_G,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),3,d,F,ulog,100000000.0,1e10,rho,F,ulog,1e-27,1e-25,alpha,AF,u,-1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,!test_8,79,K,E_n/(1+E_n/(me*c**2)*(1-cos(theta))),2,E_n,F,ulog,1.0000000000000001e-24,1e-22,theta,AF,u,-pi,pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,!test_9,80,Pwr,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,3,m1,F,ulog,1e+23,1e25,m2,F,ulog,1e23,1e25,r,F,ulog,100000000.0,1e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,!test_10,81,theta1,acos((cos(theta2)-v/c)/(1-v/c*cos(theta2))),2,theta2,F,u,0.0,2*pi,v,F,ulog,1e5,1e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,!test_11,82,I,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,4,I_0,F,ulog,0.001,0.1,alpha,F,ulog,1e-11,1e-9,delta,F,ulog,1e-11,1e-9,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,!test_12,83,F,q/(4*pi*epsilon0*y**2)*(4*pi*epsilon0*Volt*d-q*d*y**3/(y**2-d**2)**2),4,q,F,ulog,0.001,0.1,y,F,ulog,1e-2,1,Volt,F,ulog,0.1,10,d,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,!test_13,84,Volt,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),5,q,F,ulog,0.001,0.1,r,F,ulog,1e-2,1,d,F,ulog,0.01,1,alpha,F,u,0.0,2*pi,epsilon,F,ulog,1e-12,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,
113,!test_14,85,Volt,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),5,Ef,F,ulog,10.0,1000,theta,F,u,0,2*pi,r,F,ulog,0.01,1.0,d,F,ulog,0.01,1.0,alpha,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
114,!test_15,86,omega_0,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),3,v,F,ulog,100000.0,1e7,omega,F,ulog,1e9,1e11,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,!test_16,87,E_n,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,5,m,F,ulog,9.999999999999999e-31,1e-28,p,F,ulog,1e-9,1e-7,q,F,ulog,1e-11,1e-9,A_vec,F,ulog,10.0,1000,Volt,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,!test_17,88,E_n,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),6,m,F,ulog,9.999999999999999e-31,1e-28,omega,F,ulog,1e9,1e11,p,F,ulog,1e-09,1e-7,y,F,ulog,1e-11,1e-9,x,F,ulog,1e-11,1e-9,alpha,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,
117,!test_18,89,rho_0,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),3,H_G,F,ulog,1.0,100,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,!test_19,90,pr,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),4,alpha,AF,u,-10.0,10,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,H_G,F,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,!test_20,91,A,1/(4*pi)*alpha**2*h**2/(me**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(b)**2),3,omega,F,ulog,1000000000.0,1e11,omega_0,F,ulog,1e9,1e11,b,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
