Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,0,10,theta,0,10,,,,,,,,,,,,,,,,,,,,,,,,
I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,0,10,theta,0,10,theta1,0,10,,,,,,,,,,,,,,,,,,,,,
I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,0,1e17,x2,0,1e17,y1,0,1e17,y2,0,1e17,,,,,,,,,,,,,,,,,,
I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,0,1e30,m2,0,1e30,x1,0,1e17,x2,0,1e17,y1,0,1e17,y2,0,1e17,z1,0,1e17,z2,0,1e17,,,,,,
I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,0,1e30,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,0,100,x2,0,100,x3,0,100,y1,0,100,y2,0,100,y3,0,100,,,,,,,,,,,,
I.12.1,8,F,mu*Nn,2,mu,0,1,Nn,0,100,,,,,,,,,,,,,,,,,,,,,,,,
I.12.2,10,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,1e-19,1e-16,q2,1e-19,1e-16,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
I.12.4,11,Ef,q1*r/(4*pi*epsilon0*r**3),2,q1,1e-19,1e-16,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,,,,
I.12.5,12,F,q2*Ef,2,q2,1e-19,1e-16,Ef,-1e4,1e4,,,,,,,,,,,,,,,,,,,,,,,,
I.12.11,13,F,q*(Ef+B*v*sin(theta)),5,q,1e-19,1e-16,Ef,0,1e4,B,-5,5,v,-1000,1000,theta,0,2*pi,,,,,,,,,,,,,,,
I.13.4,9,K,1/2*m*(v**2+u**2+w**2),4,m,0,1e31,v,0,1e6,u,0,1e6,w,0,1e6,,,,,,,,,,,,,,,,,,
I.13.12,14,U,G*m1*m2*(1/r2-1/r1),4,m1,0,1e31,m2,0,1e31,r1,0,1e17,r2,0,1e17,,,,,,,,,,,,,,,,,,
I.14.3,15,U,m*g*z,2,m,0,1e31,z,0,1e7,,,,,,,,,,,,,,,,,,,,,,,,
I.14.4,16,U,1/2*k_spring*x**2,2,k_spring,0,1000,x,0,1,,,,,,,,,,,,,,,,,,,,,,,,
I.15.3x,17,x1,(x-u*t)/sqrt(1-u**2/c**2),3,x,0,1e17,u,0,1e6,t,0,100,,,,,,,,,,,,,,,,,,,,,
I.15.3t,18,t1,(t-u*x/c**2)/sqrt(1-u**2/c**2),3,x,0,1e17,u,0,1e6,t,0,100,,,,,,,,,,,,,,,,,,,,,
I.15.1,19,p,m_0*v/sqrt(1-v**2/c**2),2,m_0,0,1e31,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
I.16.6,20,v1,(u+v)/(1+u*v/c**2),2,v,0,1e6,u,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
I.18.4,21,r,(m1*r1+m2*r2)/(m1+m2),4,m1,0,1e31,m2,0,1e31,r1,0,1e17,r2,0,1e17,,,,,,,,,,,,,,,,,,
I.18.12,22,tau,r*F*sin(theta),2,r,0,1e17,F,0,1e15,theta,0,2*pi,,,,,,,,,,,,,,,,,,,,,
I.18.14,23,L,m*r*v*sin(theta),3,m,0,1e31,r,0,1e17,v,-1000,1000,theta,0,2*pi,,,,,,,,,,,,,,,,,,
I.24.6,24,E_n,1/2*m*(omega**2+omega_0**2)*1/2*x**2,4,m,0,1e31,omega,0,4e3,omega_0,0,4e3,x,0,1e17,,,,,,,,,,,,,,,,,,
I.25.13,25,Volt,q/C,2,q,1e-9,100,C,1e-12,1e-4,,,,,,,,,,,,,,,,,,,,,,,,
I.26.2,26,theta1,arcsin(n*sin(theta2)),2,n,1,4,theta2,0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,
I.27.6,27,foc,1/(1/d1+n/d2),3,d1,0,1e17,d2,0,1e17,n,1,4,,,,,,,,,,,,,,,,,,,,,
I.29.4,28,k,omega/c,1,omega,0,4e3,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.29.16,29,x,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),4,x1,0,100,x2,0,100,theta1,0,2*pi,theta2,0,2*pi,,,,,,,,,,,,,,,,,,
I.30.3,30,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3,Int_0,0,1e10,theta,0,2*pi,n,1,4,,,,,,,,,,,,,,,,,,,,,
!I.30.5,31,theta,arcsin(lambd/(n*d)),3,lambd,1e-11,1e-9,d,1e-13,1e-7,n,1,100,,,,,,,,,,,,,,,,,,,,,
I.32.5,32,Pwr,q**2*a**2/(6*pi*epsilon0*c**3),2,q,1e-9,100,a,0,1e17,,,,,,,,,,,,,,,,,,,,,,,,
I.32.17,33,Pwr,(1/2*epsilon0*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),4,Ef,-1e4,1e4,r,0,1e17,omega,0,4e3,omega_0,0,4e3,,,,,,,,,,,,,,,,,,
I.34.8,34,omega,q*v*B/p,4,q,1e-9,100,v,0,1e6,B,-5,5,p,1e-19,1e19,,,,,,,,,,,,,,,,,,
I.34.10,35,omega,omega_0/(1-v/c),2,v,0,1e6,omega_0,0,4e3,,,,,,,,,,,,,,,,,,,,,,,,
I.34.14,36,omega,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,2,v,0,1e6,omega_0,0,4e3,,,,,,,,,,,,,,,,,,,,,,,,
I.34.27,37,E_n,(h/(2*pi))*omega,1,omega,0,4e3,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.37.4,38,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3,I1,0,1e10,I2,0,1e10,delta,0,2*pi,,,,,,,,,,,,,,,,,,,,,
I.38.12,39,r,4*pi*epsilon0*(h/(2*pi))**2/(m*q**2),2,m,1e-31,1e-21,q,1e-19,1e-16,,,,,,,,,,,,,,,,,,,,,,,,
I.39.10,40,E_n,3/2*pr*V,2,pr,1e5,1e8,V,1e-9,10,,,,,,,,,,,,,,,,,,,,,,,,
I.39.11,41,E_n,1/(g-1)*pr*V,3,g,0,100,pr,1e5,1e8,V,1e-9,10,,,,,,,,,,,,,,,,,,,,,
I.39.22,42,pr,n*k*T/V,3,n,1e-2,1e6,T,250,1000,V,1e-9,10,,,,,,,,,,,,,,,,,,,,,
I.40.1,43,n,n_0*exp(-m*g*x/(k*T)),4,n_0,0,100,m,0,100,x,0,100,T,250,1000,,,,,,,,,,,,,,,,,,
I.41.16,44,L_rad,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(k*T))-1)),2,omega,0,4e3,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
!I.43.16,45,v,mu_drift*q*Volt/d,4,mu_drift,1E-6,1E-4,q,1e-11,1e-9,Volt,1e-1,10,d,1e-3,1e-1,,,,,,,,,,,,,,,,,,
I.43.31,46,D,mob*k*T,2,mob,0,100,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
I.43.43,47,kappa,1/(g-1)*k*v/A,3,g,0,100,A,1e-20,1e-15,v,-1000,1000,,,,,,,,,,,,,,,,,,,,,
I.44.4,48,E_n,n*k*T*ln(V2/V1),4,n,1e-2,1e6,T,250,1000,V1,1e-9,10,V2,1e-9,10,,,,,,,,,,,,,,,,,,
!I.47.23,49,c,sqrt(g*pr/rho),3,g,1,2,pr,5e-6,15e-6,rho,1,2,,,,,,,,,,,,,,,,,,,,,
I.48.20,50,E_n,m*c**2/sqrt(1-v**2/c**2),2,m,1e-31,1e-21,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
I.50.26,51,x,x1*(cos(omega*t)+alpha*cos(omega*t)**2),4,x1,0,100,omega,0,4e3,t,0,100,alpha,0,100,,,,,,,,,,,,,,,,,,
!II.2.42,52,Pwr,kappa*(T2-T1)*A/d,5,kappa,1e-1,10,T1,10,1000,T2,10,1000,A,1e-4,1e-2,d,1e-2,1,,,,,,,,,,,,,,,
!II.3.24,53,flux,Pwr/(4*pi*r**2),2,Pwr,1,100,r,1e-2,1,,,,,,,,,,,,,,,,,,,,,,,,
!II.4.23,54,Volt,q/(4*pi*epsilon0*r),2,q,1e-3,1e-1,r,1e-2,1,,,,,,,,,,,,,,,,,,,,,,,,
II.6.11,55,Volt,1/(4*pi*epsilon0)*p_d*cos(theta)/r**2,3,p_d,1e-29,1e-23,theta,0,2*pi,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
II.6.15a,56,Ef,p_d/(4*pi*epsilon0)*3*z/r**5*sqrt(x**2+y**2),5,p_d,1e-29,1e-23,r,1e-11,1e-8,x,1e-11,1e-8,y,1e-11,1e-8,z,0,1,,,,,,,,,,,,,,,
II.6.15b,57,Ef,p_d/(4*pi*epsilon0)*3*cos(theta)*sin(theta)/r**3,3,p_d,1e-29,1e-23,theta,0,2*pi,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
II.8.7,58,E_n,3/5*q**2/(4*pi*epsilon0*d),2,q,1e-9,100,d,0,100,,,,,,,,,,,,,,,,,,,,,,,,
!II.8.31,59,E_den,epsilon0*Ef**2/2,1,Ef,10,1e3,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.10.9,60,Ef,sigma_den/epsilon0*1/(1+chi),2,sigma_den,1e-3,1e-1,chi,1,100,,,,,,,,,,,,,,,,,,,,,,,,
II.11.3,61,x,q*Ef/(m*(omega_0**2-omega**2)),5,q,1e-19,1e-16,Ef,-1e4,1e4,m,1e-31,1e-21,omega,0,4e3,omega_0,omega,4e3,,,,,,,,,,,,,,,
II.11.17,62,n,n_0*(1+p_d*Ef*cos(theta)/(k*T)),5,n_0,1e25,1e29,T,250,1000,theta,0,2*pi,p_d,1e-29,1e-23,Ef,-1e4,1e4,,,,,,,,,,,,,,,
II.11.20,63,Pol,n_rho*p_d**2*Ef/(3*k*T),4,n_rho,1e25,1e29,p_d,1e-17,1e-13,Ef,-1e4,1e4,T,250,1000,,,,,,,,,,,,,,,,,,
II.11.27,64,Pol,Na/(1-(Na/3))*epsilon0*Ef,2,Na,0,99,Ef,-1e4,1e4,,,,,,,,,,,,,,,,,,,,,,,,
II.11.28,65,theta,1+Na/(1-(Na/3)),1,Na,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.13.17,66,B,1/(4*pi*epsilon0*c**2)*2*I/r,2,I,1e-3,1e-1,r,1e-3,1e-1,,,,,,,,,,,,,,,,,,,,,,,,
II.13.23,67,rho_c,rho_c_0/sqrt(1-v**2/c**2),2,rho_c_0,1e-19,1e6,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
II.13.34,68,j,rho_c_0*v/sqrt(1-v**2/c**2),2,rho_c_0,1e-19,1e6,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
!II.15.4,69,E_n,-mew*B*cos(theta),3,mew,1e-25,1e-23,B,1e-3,1e-1,theta,0,2*pi,,,,,,,,,,,,,,,,,,,,,
!II.15.5,70,E_n,-p_d*Ef*cos(theta),3,p_d,1e-22,1e-20,Ef,10,1e3,theta,0,2*pi,,,,,,,,,,,,,,,,,,,,,
II.21.32,71,Volt,q/(4*pi*epsilon0*r*(1-v/c)),3,q,1e-9,100,r,0,100,v,0,1000,,,,,,,,,,,,,,,,,,,,,
II.24.17,72,k,sqrt(omega**2/c**2-pi**2/d**2),2,omega,0,4e3,d,0,100,,,,,,,,,,,,,,,,,,,,,,,,
!II.27.16,73,flux,epsilon0*c*Ef**2,1,Ef,1e-1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.27.18,74,E_den,epsilon0*Ef**2,1,Ef,1e-1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.34.2a,75,I,q*v/(2*pi*r),3,q,1e-19,1e-16,v,0,1000,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
II.34.2,76,mew,q*v*r/2,3,q,1e-19,1e-16,v,0,1000,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
?II.34.11,77,omega,g_*qe*B/(2*m),3,g_,-1,1,B,1e-9,1e-7,m,1e-30,1e-28,,,,,,,,,,,,,,,,,,,,,
II.34.29a,78,mew,qe*h/(4*pi*m),1,m,1e-31,1e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
!II.34.29b,79,E_n,g_*Bohr*B*Jz/(h/(2*pi)),3,g_,-1,1,Jz,1e-26,1e-22,B,1e-3,1e-1,,,,,,,,,,,,,,,,,,,,,
II.35.18,80,n,n_0/(exp(mew0*B/(k*T))+exp(-mew0*B/(k*T))),3,n_0,1e25,1e29,T,250,1000,B,-5,5,,,,,,,,,,,,,,,,,,,,,
II.35.21,81,M,n_rho*mew0*tanh(mew0*B/(k*T)),3,n_rho,1e25,1e29,B,-5,5,T,250,1000,,,,,,,,,,,,,,,,,,,,,
II.36.38,82,f,mew*H/(k*T)+(mew*alpha)/(epsilon0*c**2*k*T)*M,5,mew,0,100,H,-5,5,M,-5,5,T,250,1000,alpha,0,10,,,,,,,,,,,,,,,
II.37.1,83,E_n,mew*(1+chi)*B,3,mew,0,100,B,-5,5,chi,0,99,,,,,,,,,,,,,,,,,,,,,
!II.38.3,84,F,Y*A*x/d,4,Y,1e-1,10,A,1e-4,1e-2,d,1e-2,1,x,1e-3,1e-1,,,,,,,,,,,,,,,,,,
II.38.14,85,mu_S,Y/(2*(1+sigma)),2,Y,1e11,4e11,sigma,-1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
III.4.32,86,n,1/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,0,4e3,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
III.4.33,87,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,0,4e3,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
!III.7.38,88,omega,2*mew*B/(h/(2*pi)),2,mew,1e-11,1e-9,B,1e-3,1e-1,,,,,,,,,,,,,,,,,,,,,,,,
III.8.54,89,prob,sin(E_n*t/(h/(2*pi)))**2,2,E_n,0,100,t,0,100,,,,,,,,,,,,,,,,,,,,,,,,
III.9.52,90,prob,((p_d*Ef*t/(h/(2*pi)))**2)*(sin((omega-omega_0)*t/2)**2)/((omega-omega_0)*t/2)**2,5,p_d,0,100,Ef,-1e4,1e4,t,0,100,omega,0,4e3,omega_0,0,4e3,,,,,,,,,,,,,,,
III.10.19,91,E_n,mew*sqrt(Bx**2+By**2+Bz**2),3,mew,0,100,Bx,-5,5,By,-5,5,Bz,-5,5,,,,,,,,,,,,,,,,,,
!III.12.43,92,L,n*(h/(2*pi)),1,n,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.13.18,93,v,2*E_n*d**2*K/(h/(2*pi)),3,E_n,0,100,d,0,10,K,-100,100,,,,,,,,,,,,,,,,,,,,,
III.14.14,94,I,I_0*(exp(q*Volt/(k*T))-1),4,I_0,0,10,q,1e-19,1e-16,Volt,0,1e3,T,250,1000,,,,,,,,,,,,,,,,,,
III.15.12,95,E_n,2*U*(1-cos(K*d)),3,U,0,100,K,-100,100,d,1e-10,1e-9,,,,,,,,,,,,,,,,,,,,,
III.15.14,96,m,(h/(2*pi))**2/(2*E_n*d**2),2,E_n,0,100,b,1e-10,1e-9,,,,,,,,,,,,,,,,,,,,,,,,
?III.15.27,97,K,2*pi*alpha/(n*d),3,alpha,-0.5*n,0.5*n,n,1,100,d,1e-10,1e-8,,,,,,,,,,,,,,,,,,,,,
III.17.37,98,f,b*(1+alpha*cos(theta)),3,b,1e-11,1e-8,alpha,1e-11,1e-8,theta,0,2*pi,,,,,,,,,,,,,,,,,,,,,
III.19.51,99,E_n,-m*q**4/(2*(4*pi*epsilon0)**2*(h/(2*pi))**2)*(1/n**2),3,m,1e-31,1e-21,q,1,1e3,n,0,100,,,,,,,,,,,,,,,,,,,,,
III.21.20,100,j,-rho_c_0*q*A_vec/m,4,rho_c_0,1e-19,1e6,q,1e-19,1e-16,A_vec,0,100,m,1e-23,1e-21,,,,,,,,,,,,,,,,,,
test_1,101,A,(Z_1*Z_2*alpha*hbar*c/(4*E_n*sin(theta/2)**2))**2,7,Z_1,1,2,Z_2,1,2,alpha,1,2,hbar,1,2,c,1,2,E_n,1,3,theta,1,3,,,,,,,,,
test_2,102,k,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),6,m,1,3,k_G,1,3,L,1,3,E_n,1,3,theta1,0,6,theta2,0,6,,,,,,,,,,,,
test_3,103,r,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),4,d,1,3,alpha,2,4,theta1,4,5,theta2,4,5,,,,,,,,,,,,,,,,,,
test_4,104,v,sqrt(2/m*(E_n-U-L**2/(2*m*r**2))),5,m,1,3,E_n,8,12,U,1,3,L,1,3,r,1,3,,,,,,,,,,,,,,,
test_5,105,t,2*pi*d**(3/2)/sqrt(G*(m1+m2)),4,d,1,3,G,1,3,m1,1,3,m2,1,3,,,,,,,,,,,,,,,,,,
test_6,106,alpha,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2)),7,epsilon,1,3,L,1,3,m,1,3,Z_1,1,3,Z_2,1,3,q,1,3,E_n,1,3,,,,,,,,,
test_7,107,H_G,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),5,G,1,3,rho,1,3,alpha,1,2,c,1,2,d,1,3,,,,,,,,,,,,,,,
test_8,108,K,E_n/(1+E_n/(m*c**2)*(1-cos(theta))),4,E_n,1,3,m,1,3,c,1,3,theta,1,3,,,,,,,,,,,,,,,,,,
test_9,109,Pwr,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,5,G,1,2,c,1,2,m1,1,5,m2,1,5,r,1,2,,,,,,,,,,,,,,,
test_10,110,theta1,arccos((cos(theta2)-v/c)/(1-v/c*cos(theta2))),3,c,4,6,v,1,3,theta2,1,3,,,,,,,,,,,,,,,,,,,,,
test_11,111,I,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,4,I_0,1,3,alpha,1,3,delta,1,3,n,1,2,,,,,,,,,,,,,,,,,,
test_12,112,F,q/(4*pi*epsilon*y**2)*(4*pi*epsilon*Volt*d-q*d*y**3/(y**2-d**2)**2),4,q,1,5,y,1,3,Volt,1,5,d,4,6,epsilon,1,5,,,,,,,,,,,,,,,
test_13,113,Volt,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),4,q,1,5,r,1,3,d,4,6,alpha,0,6,epsilon,1,5,,,,,,,,,,,,,,,
test_14,114,Volt,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),5,Ef,1,5,theta,0,6,r,1,5,d,1,5,alpha,1,5,,,,,,,,,,,,,,,
test_15,115,omega_0,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),4,c,5,20,v,1,3,omega,1,5,theta,0,6,,,,,,,,,,,,,,,,,,
test_16,116,E_n,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,6,m,1,5,c,1,5,p,1,5,q,1,5,A_vec,1,5,Volt,1,5,,,,,,,,,,,,
test_17,117,E_n,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),6,m,1,5,omega,1,5,p,1,5,y,1,5,x,1,5,alpha,1,5,,,,,,,,,,,,
test_18,118,rho_0,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),4,G,1,5,k_f,1,5,r,1,5,H_G,1,5,c,1,5,,,,,,,,,,,,,,,
test_19,119,pr,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),5,G,1,5,k_f,1,5,r,1,5,H_G,1,5,alpha,1,5,c,1,5,,,,,,,,,,,,
test_20,120,A,1/(4*pi)*alpha**2*h**2/(m**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(b)**2),7,omega,1,5,omega_0,1,5,alpha,1,5,h,1,5,m,1,5,c,1,5,b,0,6,,,,,,,,,